term_type,term_group,term,surprisal,surprisal_type,frequency
legal,乃|於是,乃,5.413732657554902,semantic,399
legal,乃|於是,乃,5.417977677381065,semantic,399
legal,乃|於是,乃,5.415660522961457,semantic,399
legal,乃|於是,乃,5.446963639544557,semantic,399
legal,乃|於是,乃,5.443100968734526,semantic,399
legal,乃|於是,乃,5.426285353917531,semantic,399
legal,乃|於是,乃,5.430869643889458,semantic,399
legal,乃|於是,乃,5.4405612281747535,semantic,399
legal,乃|於是,乃,5.444034118263391,semantic,399
legal,乃|於是,乃,5.412586746779987,semantic,399
legal,乃|於是,乃,5.415344398167693,semantic,399
legal,乃|於是,乃,5.429088669487283,semantic,399
legal,乃|於是,乃,5.450580345326366,semantic,399
legal,乃|於是,乃,5.378726300762711,semantic,399
legal,乃|於是,乃,5.411896055908815,semantic,399
legal,乃|於是,乃,5.445492007205263,semantic,399
legal,乃|於是,乃,5.428164678044297,semantic,399
legal,乃|於是,乃,5.437465558247456,semantic,399
legal,乃|於是,乃,5.429164907904741,semantic,399
legal,乃|於是,乃,5.444348276962468,semantic,399
legal,乃|於是,乃,5.435220553526959,semantic,399
legal,乃|於是,乃,5.452818894916288,semantic,399
legal,乃|於是,乃,5.4560695695165595,semantic,399
legal,乃|於是,乃,5.44134627759866,semantic,399
legal,乃|於是,乃,5.4403670815561025,semantic,399
legal,乃|於是,乃,5.443080168308104,semantic,399
legal,乃|於是,乃,5.417492836659547,semantic,399
legal,乃|於是,乃,5.450513124883137,semantic,399
legal,乃|於是,乃,5.429596928596943,semantic,399
legal,乃|於是,乃,5.436380598036396,semantic,399
legal,乃|於是,乃,5.432241542862456,semantic,399
legal,乃|於是,乃,5.425477961015341,semantic,399
legal,乃|於是,乃,5.4022862281591415,semantic,399
legal,乃|於是,乃,5.350655935384431,semantic,399
legal,乃|於是,乃,5.402631504818869,semantic,399
legal,乃|於是,乃,5.376435381605394,semantic,399
legal,乃|於是,乃,5.43173076367438,semantic,399
legal,乃|於是,乃,5.43676850218719,semantic,399
legal,乃|於是,乃,5.452751181916463,semantic,399
legal,乃|於是,乃,5.429175764906302,semantic,399
legal,乃|於是,乃,5.42414061556127,semantic,399
legal,乃|於是,乃,5.433149254234712,semantic,399
legal,乃|於是,乃,5.4408325788891725,semantic,399
legal,乃|於是,乃,5.441982703143863,semantic,399
legal,乃|於是,乃,5.398941591967149,semantic,399
